,Winery,Region,Ratings,Number of Reviews,Yelp Dollar Signs
0,Kunde,Sonoma County,4.5,522,$$
1,Sterling,Calistoga,3.5,1291,$$
2,J. Lohr,Monterey County,4,191,$$
3,Bernat,Santa Barbara County,5,1,
4,Morgan,Monterey County,4,49,$$
5,Prime Solum,Napa Valley,5,6,$$
6,Castello di Amorosa,Napa Valley,4,3443,$$
7,Trombetta,Sonoma Coast,5,1,
8,Whitcraft,Santa Ynez Valley,4,33,$$$
9,Solis,Santa Clara Valley,3.5,90,$$
10,Fogline Vineyards,Sonoma Coast,5,66,$$
11,Amici,Napa Valley,3.5,400,$$
12,Apsara,Napa Valley,,,
13,Failla,Sonoma Coast,4.5,100,$$
14,Paul Mathew,Russian River Valley,4,26,$$
15,Anglim,Paso Robles,4.5,39,$$
16,Merriam,Russian River Valley,4.5,39,$$
17,Rally Point Wines,Sonoma Valley,,,
18,VGS Chateau Potelle,Sonoma County,4.5,42,$$$
19,Carol Shelton,Sonoma Coast,5,43,$$
20,Wattle Creek,Alexander Valley,5,3,$$
21,Ridge,Paso Robles,4.5,41,
22,La Sirena,Calistoga,4.5,5,$$$$
23,Davies,Howell Mountain,4.5,18,$$
24,B.R. Cohn,Carneros,4,273,$$
25,Fogline Vineyards,Russian River Valley,5,66,$$
26,Cinnabar,Santa Lucia Highlands,5,9,$$
27,Ramey,Russian River Valley,4.5,11,$$
28,Hill Family Estate,Napa Valley,4.5,145,$$
29,Estancia,Monterey County,,,
30,Summerland,Santa Ynez Valley,4,522,$$
31,Sonoma-Cutrer,Sonoma Coast,4,78,$$
32,Heringer,Clarksburg,4.5,56,$$
33,Francis Ford Coppola,Sonoma County,4,767,$$
34,Black Coyote,Napa Valley,,,
35,Rideau,Sta. Rita Hills,4,327,$$
36,Tensley,Santa Barbara County,4,33,$$
37,Cerro Prieto,Paso Robles,5,1,
38,Sculpterra,Central Coast,4.5,254,$$
39,Ancien,Sonoma Mountain,5,4,
40,Paul Hobbs,Sonoma Mountain,4,21,$$$
41,Longoria,Santa Maria Valley,4,60,$$
42,Pahlmeyer,Sonoma Coast,5,2,$$$$
43,Morse,El Dorado,4.5,23,$$
44,Turley,Amador County,3.5,52,$$
45,Kivelstadt Cellars,Sonoma Valley,5,26,$$
46,Pali,Sonoma County,3.5,2,
47,Transcendence,Central Coast,5,9,$$
48,Carlson,Santa Ynez Valley,,,
49,MacRostie,Russian River Valley,4.5,147,$$
50,Harmony Cellars,Paso Robles,4.5,109,$$
51,Reynoso,Alexander Valley,5,2,
52,Apriori,Sonoma Coast,5,3,
53,August Ridge,Paso Robles,4.5,28,$$
54,Deerfield Ranch,Sonoma Valley,4.5,138,$$
55,Benaddiction,California,4,735,$$
56,Urban Legend,Clarksburg,4.5,96,$$
57,Walt,Carneros,4,125,$$
58,Signorello,Napa Valley,4,140,$$
59,Joseph Cellars,Carneros,5,22,$$
60,Zaca Mesa,Santa Maria Valley,4,171,$$
61,Barton,Sta. Rita Hills,,,
62,Eleven Eleven,Russian River Valley,4.5,29,$$$
63,Girard,Napa Valley,4.5,271,$$
64,Puccioni,Dry Creek Valley,,,
65,Lepe,Arroyo Seco,,,$
66,Rock Wall,Clarksburg,4,492,$$
67,Jamie Slone Wines,Santa Barbara County,4.5,126,$$
68,Vezer Family Vineyard,Suisun Valley,4.5,85,$$
69,Geyser Peak,Sonoma County,4,15,$$
70,Windy Oaks,Santa Cruz Mountains,4,41,$$$
71,Together,Napa Valley,2,6,$$$
72,Trinitas,Rutherford,4.5,181,$$
73,Brander,Santa Barbara County,4,117,$$
74,Maldonado,Napa Valley,3.5,20,$$
75,Freeman,Sonoma Coast,5,22,$$
76,Medlock Ames,Russian River Valley,4.5,129,$$
77,Tank Garage,Sonoma County,4,123,$$
78,Kenneth Volk,Santa Maria Valley,4.5,51,$$
79,Buena Vista,Alexander Valley,4,358,$$
80,Cima Collina,Monterey County,4.5,44,$$
81,Bougetz,Napa Valley,5,1,
82,Signorello,Carneros,4,140,$$
83,Passaggio,Russian River Valley,4.5,37,$$
84,Emeritus,Sonoma Coast,4.5,32,$$
85,Gallegos,Napa Valley,5,5,
86,Bennett Lane,Napa Valley,4.5,119,$$
87,Rock Wall,Napa Valley,4,492,$$
