Precipitation Observations for Central Coast (Climate Region) (Period: 12-month periods ending in December)
Year,Precipitation_in,Running_Mean
1895,22.896803517440308,
1896,29.914718573824388,
1897,20.48339343677212,
1898,11.9018648376147,
1899,27.905035947388384,
1900,20.911350606257937,23.6483344164688
1901,22.23188315418898,24.784308612403528
1902,26.52172358166827,24.839673148925787
1903,22.204123376200723,24.610837148048464
1904,30.83596130905621,27.40327196925439
1905,24.324820240744774,26.205136810380534
1906,35.39251967272235,27.363218048808104
1907,30.523728475569218,26.960251206173496
1908,17.96619742712158,26.628364598150462
1909,42.6186478708799,27.53807333075213
1910,14.725549199775909,27.626525776495793
1911,33.65024422896123,28.379898700440197
1912,17.799247885208267,26.318310795527637
1913,22.87097089341488,25.845075332407315
1914,32.210919434819125,26.05162799002625
1915,31.80893821223644,24.16028188799552
1916,32.61192240413327,25.125925605241875
1917,12.715052718684179,24.713417261456097
1918,25.318138381245685,24.19909695966925
1919,20.23827666092989,23.57529330204983
1920,21.813840748541814,22.516383099604585
1921,25.347630089485826,22.24093796613278
1922,29.112652447317696,21.797411722121616
1923,12.141724565552952,22.366478741402243
1924,16.009130659601247,21.17107371952137
1925,20.562907207921445,20.959332220957403
1926,28.779041744046577,21.411040411177552
1927,27.733133720010464,20.420499255220232
1928,18.974789930771074,19.756281814654205
1929,12.16868314055607,20.391900357103534
1930,17.90912017672627,21.07204999674456
1931,26.782630840963396,21.666017964971147
1932,14.451677373955327,21.960664708758404
1933,21.80626060109143,22.29693119793278
1934,19.13352853249558,21.811181672307534
1935,23.49077669565252,24.236952332004446
1936,27.0965548584139,26.79418166117586
1937,32.02015592570644,26.69576313195946
1938,31.432065100928575,27.57372611276393
1939,13.631545148893327,28.022862166945842
1940,38.852160397222136,28.72753750093528
1941,46.038642797611814,28.13201989635195
1942,25.700027019582997,26.793073041788297
1943,24.1092701628045,25.57402863203232
1944,26.746757197092432,24.346865233932633
1945,26.884957206379426,25.792257920564438
1946,16.940083045235866,24.439711296519906
1947,12.368139458213767,23.384080433334635
1948,18.610667418390598,22.333360102641063
1949,17.93326772183212,22.32070222666403
1950,29.530864701843143,22.59953135998048
1951,23.97414753273229,21.66680887802955
1952,34.42670330257388,22.49075700227676
1953,14.142103381953666,24.413310133153036
1954,23.970033527057115,24.36878048884813
1955,29.81387766357344,24.80135118244643
1956,16.625009904919178,23.4533621442696
1957,26.003512411955143,23.777305557836804
1958,33.51622389785284,23.364679510832904
1959,18.120841331036598,24.189246109889552
1960,22.691545351413446,24.283154524367976
1961,14.702985281898032,23.305454863926172
1962,27.53752508197151,24.438117546298198
1963,29.88781678553099,24.0611331029878
1964,23.2123359715768,24.510570873787753
1965,25.00302608631973,25.660572879788234
1966,19.059181398713623,25.031810165943526
1967,29.084299411011422,25.351481721358777
1968,21.856683535540796,26.3133462802254
1969,38.46003937665231,25.893957393128144
1970,30.770863397041932,25.667585956807304
1971,15.77515549912162,24.626565333446933
1972,18.21937239146582,24.48102797709676
1973,38.11803522950438,25.0720452918608
1974,25.2745390274612,25.705664803488617
1975,20.722250172047485,24.538444278152838
1976,13.551799229355678,24.347404305510107
1977,17.45827047886174,26.66385382078749
1978,35.585489873415824,29.868942202375777
1979,28.82649816344678,27.91726393777452
1980,25.62061359795879,27.181443533223568
1981,28.66942369797181,27.905136360169898
1982,41.256100167172875,28.70312750431344
1983,53.475344588937055,28.665291524711822
1984,16.64957431889055,26.593886563015346
1985,17.18051457740067,25.17708279878141
1986,28.682871268457138,25.036635983099902
1987,22.32970181493459,24.8742632304283
1988,17.04207470324396,23.862498976171505
1989,12.800035294754597,20.995965251169256
1990,13.241656756873466,23.182271892732818
1991,24.075698625462245,25.233848500939715
1992,26.883323418584176,24.89558222635029
1993,30.126693370348114,26.900914382262723
1994,21.943473613912335,27.265389878771487
1995,40.69894737608969,28.795470041486045
1996,39.747857267676586,30.541352021359057
1997,24.96194224797343,30.390635698133156
1998,44.38835552997133,29.861175960175164
1999,21.051305164840358,29.323692725502585
2000,29.630917084614765,30.056984202924685
2001,32.446358535476584,28.917561289259062
2002,22.417819069977334,26.483789139369982
2003,21.059266301046303,26.121221593436168
2004,24.214377788949726,24.088594852848143
2005,30.009679865555437,25.311705951476018
2006,28.165295325767847,24.716619339305463
2007,12.976363618896684,24.23422268783645
2008,20.973699242701542,22.68170438869443
2009,22.029461383502987,22.865836602623947
2010,34.50552724974702,21.77418505529639
2011,23.084964350738623,21.657627245635343
2012,27.139995369317475,22.19132934364107
2013,5.340117779415056,22.975790176391804
2014,23.084720654270996,
2015,12.206210768346615,
2016,28.72754395928394,
2017,34.03601840383083,
2018,21.605432779154768,
