Precipitation Observations for North Coast (Climate Region) (Period: 12-month periods ending in December)
Year,Precipitation_in,Running_Mean
1895,70.97334495043386,
1896,91.52504147361772,
1897,70.60304477975276,
1898,53.691059679585834,
1899,91.65797826900335,
1900,65.50214942327125,77.38406420210958
1901,70.0097439122348,77.84995330657354
1902,100.93244005523474,77.41101226218778
1903,74.5681270924394,75.62299679589006
1904,106.2408505607935,79.97873690543246
1905,55.52092602683809,76.33298848381827
1906,76.09812509953763,75.5795895919723
1907,86.69668998537429,76.20116259654793
1908,50.93487465047778,72.92194042560507
1909,101.60420088455199,73.41331241659431
1910,51.55474563124741,71.1453454680344
1911,57.214761612965475,72.72500479154773
1912,76.84704696256692,70.76248520884694
1913,64.86099617486339,67.49239524539848
1914,79.97321899332084,69.54896002588568
1915,81.29321412663467,67.3855348361156
1916,72.89717858548465,68.49401156821672
1917,54.51040968982885,69.05322215759385
1918,50.72570038744134,65.79163949053088
1919,73.55708723583685,64.89480502946076
1920,77.80652379708111,63.68243331592064
1921,63.74798968435984,63.23683674166929
1922,63.36607809611378,63.380782058362236
1923,40.969637624874416,63.80303451710092
1924,54.99581710309193,63.114657509888396
1925,66.6371301443797,60.362644650247034
1926,76.39165180986966,58.78581366622457
1927,74.4805770691071,57.76474287474401
1928,59.15518673595432,58.34258842736666
1929,43.15355330810367,59.949456494822996
1930,43.284945779781715,60.024483645410555
1931,60.46138297283417,59.24476363206116
1932,52.5162109780737,60.50394875738322
1933,69.72237917496297,61.18518394978653
1934,58.64518636689398,60.391505004058395
1935,55.82111575955512,64.35230281592595
1936,58.060209997536376,68.57967622343878
1937,90.24268818841216,70.17441892193659
1938,81.97416418554364,70.23763515460486
1939,50.424718332944884,69.39828855686316
1940,86.7223292386468,71.41728596367194
1941,89.78605326242284,70.40492979135996
1942,78.00355265630998,69.57040499768276
1943,53.2115895374248,67.6704260942529
1944,60.48956659980434,64.2548724477078
1945,80.85415784179031,67.43007201823656
1946,44.68519786412339,66.44294016203754
1947,48.880437267087004,64.32666643980873
1948,69.34292025068386,64.35417870317313
1949,44.403074073547636,66.44188384666383
1950,85.35191360876124,67.30813465756104
1951,75.8638788204576,65.82602130494014
1952,66.50704231790598,68.92840750240667
1953,78.30618755331842,71.51650878693688
1954,76.17634611582244,69.99481616603227
1955,70.01832551967371,72.90075208413542
1956,64.55091096296036,71.37051733229463
1957,78.8114460362551,70.28851162268452
1958,77.3495513969193,70.88760351744334
1959,52.604301420732995,70.69440595838067
1960,76.36836917268235,68.72067041240308
1961,68.51933133851249,68.73488805272204
1962,63.96181601474649,68.5234122482665
1963,73.09705316025304,67.93987887592957
1964,76.18101440362915,67.73204111107901
1965,54.465255110068824,70.87115310462376
1966,70.1747195631823,69.98357313894732
1967,62.22467711394947,69.81238311279944
1968,72.39257894054882,72.27892779544783
1969,75.06333598356326,71.769681871413
1970,87.13453334972516,71.73542559275353
1971,66.60498955024134,69.69475076254871
1972,66.63624105088576,68.44807290908462
1973,91.09380752387878,68.35074498108682
1974,67.49534799587002,68.20828372066717
1975,75.80419533837515,66.74736644262249
1976,32.01783197781575,66.34015895492526
1977,56.46126317507736,68.38548066582408
1978,61.154069905973614,73.08798132987528
1979,70.82550507593268,70.51956876614291
1980,58.99324592507162,67.91377669282623
1981,82.65525098505572,67.9113904906104
1982,89.10352837012854,70.66578358449416
1983,118.36374835544882,70.33437158559654
1984,62.84126932282271,69.0020721278735
1985,38.83163518938662,66.97481822940323
1986,75.77794711400114,65.63884614061804
1987,62.31615601053704,63.645453292217965
1988,52.81573118720349,61.866230721699345
1989,46.49877587102009,55.76023695151048
1990,48.52571219275984,58.93907178229965
1991,44.29755294843441,64.3567352206828
1992,60.72792965265504,63.12972778069779
1993,69.53208009442375,66.49736258920085
1994,51.197816883371196,67.68722154824887
1995,97.80845246150355,68.86048318854846
1996,98.42593301160116,70.11920575525741
1997,62.280865274166146,72.18862516748827
1998,99.3601389040708,73.08594203809217
1999,65.90417973673169,72.0889156385101
2000,59.404653914315475,74.7989876455653
2001,62.37166042655827,73.17468312978879
2002,67.0611664829739,68.8634946810822
2003,70.59841522929784,68.06222645699263
2004,58.564789699020906,63.5663934686431
2005,81.00860896097859,65.96829209666681
2006,79.9411027879619,65.91918902502431
2007,51.00286007582874,68.46344584228417
2008,53.46691480918099,64.73035722352414
2009,49.905976032225745,64.47517160971586
2010,92.32506464499272,63.85136706329863
2011,58.86452012624771,64.40332114425635
2012,90.3584854164169,64.60359387010901
2013,25.997191676613546,65.07234757077215
2014,67.79137347740678,
2015,51.7029396884315,
2016,87.08010385151354,
2017,82.14410277234097,
2018,56.15915078312328,
