Precipitation Observations for Sacramento-Delta (Climate Region) (Period: 12-month periods ending in December)
Year,Precipitation_in,Running_Mean
1895,18.841727722044293,
1896,25.486976749350003,
1897,16.794850963661734,
1898,9.69557592227401,
1899,23.947887975080313,
1900,17.225837756358764,19.028227585616904
1901,19.528443998148667,20.162513452287435
1902,19.63374231147995,19.938863741843758
1903,17.46532140941141,19.537856530164802
1904,24.509400640769606,21.24162638488489
1905,16.1807379932072,20.0898933881531
1906,31.318872255420132,20.744853484990312
1907,23.02682993446949,20.18127014037013
1908,12.38377163519326,19.89260306692433
1909,28.437044324194986,20.36579598369053
1910,11.278825011030673,20.259753868735
1911,24.430398821568073,20.890061548868214
1912,13.329027207326657,18.950513831924066
1913,16.458404503576165,18.587740201310144
1914,22.670443493839567,18.857912204148292
1915,23.34293737625876,17.946672846534774
1916,23.1141224746726,18.47736860333514
1917,9.983847369034518,18.393888770861782
1918,19.03631999771631,18.154604510974487
1919,15.355663666412893,17.946341480176507
1920,18.413411390446324,17.387480762048224
1921,17.11647833583469,17.26950111023015
1922,23.512120664361095,16.98964831545743
1923,10.696900348566421,17.496868001016665
1924,14.16751116479839,16.713524412342206
1925,16.522975594428466,16.59186459719562
1926,22.04516120625995,16.637171510348097
1927,20.035741732172667,16.041701394691195
1928,15.563263910186066,15.313642096197384
1929,10.41954052229733,15.600103229396428
1930,14.017405699800415,16.008092331248275
1931,18.91178743512358,16.415702780229438
1932,10.566307063608772,16.640100281331005
1933,15.503468380929135,16.856618682699906
1934,13.84797281375591,16.379899868405733
1935,18.655391285168758,18.232453011802367
1936,21.00669053322129,19.530412709425164
1937,24.513533718377175,19.833461556845595
1938,22.417444147230544,20.406642506729
1939,10.31935695295015,20.90626711514861
1940,30.79762509966028,21.54821153134111
1941,28.294962373651195,20.936250927379817
1942,22.245324756748307,20.031297967596174
1943,16.87129751232625,19.288743950618247
1944,20.999339073544814,18.37405133960251
1945,20.9093613918735,19.674845553220564
1946,11.92382464159449,18.58359978223125
1947,11.052207975601243,18.23531529900791
1948,16.345439531619938,17.269880068729936
1949,12.355825426057413,17.40614525290028
1950,24.628093302748752,17.52144013108929
1951,18.793921618777873,16.914134464118334
1952,24.463833058194425,17.522885575554017
1953,11.62553722369056,18.814700849901786
1954,18.370214538200095,18.641980227132112
1955,22.267582733623883,19.009320614745032
1956,14.228999055192993,17.941392757741266
1957,18.62008686738701,18.082275663813235
1958,25.26217599342673,17.855374451976484
1959,14.445512681153541,18.42617735581426
1960,16.39656968979953,18.361362988890157
1961,12.880886875707285,17.631900722063403
1962,20.34363358556957,18.328113960819213
1963,21.96791972799014,18.309311297133213
1964,17.904369165906104,18.383907592457703
1965,17.65725650203492,19.29728585043461
1966,14.243497798529566,18.931782570406217
1967,21.88734468150694,19.074529238455206
1968,18.413257566841025,19.89282307959762
1969,26.082735241996083,19.4362600845294
1970,24.49267351889953,19.412497648880493
1971,12.376033609487221,18.555530536629025
1972,14.451100224246186,18.414891391636413
1973,29.344865838136144,18.68511313244774
1974,16.945726782239692,19.036995114589104
1975,17.64298237376811,18.39743548422687
1976,8.230618267268765,18.30086141607459
1977,12.696467203610837,20.130466233651358
1978,24.859783830431542,22.495441983629153
1979,22.283959370396037,21.089627318149226
1980,19.047579308011485,20.822200210225905
1981,23.43035876922449,21.177878451444013
1982,32.50168660283164,21.9534964671148
1983,40.46583347400196,22.01055689556731
1984,13.880904517856907,20.942462969979246
1985,14.004028595083149,20.03695825981218
1986,21.555443027167296,19.8688329215403
1987,16.76241643964743,19.572403278627974
1988,13.324131916588447,18.87558206273386
1989,13.110750648962837,16.63169457151947
1990,12.323407558558362,18.151537985264493
1991,17.19820058702079,19.607747592452657
1992,20.169632697188913,19.33955815164543
1993,24.83665322799634,20.76136244588223
1994,15.783071070643704,20.85494832697253
1995,30.599182069052144,21.690833813100678
1996,30.02233427415299,22.557419129920333
1997,18.60535917828775,22.572438421982834
1998,32.40226367625226,22.277204516048737
1999,14.353576608581747,21.67133690322306
2000,22.305490996372505,22.460586272641134
2001,21.855846043574548,21.62929585475907
2002,17.363412799708264,19.943705798899714
2003,16.922059731913826,19.577809502066724
2004,18.172109486913925,18.20377966117783
2005,24.46481413424251,19.273876206237034
2006,21.454987472349426,18.886135049849187
2007,11.480843659700103,18.949020865361742
2008,14.580499913124845,17.873781464638093
2009,17.287935426474476,18.11503963446913
2010,26.124638604232942,17.38891923695539
2011,18.04033827610618,17.25926747222365
2012,22.547590014212652,17.739000222798893
2013,5.535779391748136,18.33762232277081
2014,19.575899600055216,
2015,10.184785114262876,
2016,23.03864472219331,
2017,26.732047728677102,
2018,18.065686759391166,
