,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,province_id,variety_numerical,vintage,norm_vintage,norm_price,norm_points,total_fires,sum_fire_size
4213,11838,42203,43929,US,"From dry-farmed estate vines, this savory, classically styled red offers nuances of cedar, dried herb and peppercorn. It's aromatically reminiscent of the forest that surrounds the estate, delivering a balanced landscape of subtle, elegant flavor and length.",Estate Bottled,93,50.0,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Smith-Madrone 2013 Estate Bottled Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Smith-Madrone,7,80,2013,0.010912698412698412,0.022354694485842028,0.13131313131313133,0,0.0
4214,11839,42210,43937,US,"A sense of richness comes with the creamy flavors in this smooth, light-bodied Chardonnay-like bubbly. The wine starts with a surprising marshmallow aroma, then goes to pear and ripe apple flavors. It is balanced toward the soft, rather than crisp, side of the scale.",Brut,88,25.0,California,California,California Other,Jim Gordon,@gordone_cellars,Rock Wall 2013 Brut Sparkling (California),Sparkling Blend,Rock Wall,7,553,2013,0.010912698412698412,0.009935419771485344,0.08080808080808081,0,0.0
4215,11853,42290,44032,US,"Rahn has blended 50% Grenache and 50% Mourvedre and aged it in French oak for a year. The result is a smooth, soft, rich texture, with a mix of cherry and vanilla flavors. A parting shot of dark chocolate marks the finish.",Corvino Bosco Vineyard,87,25.0,California,San Francisco Bay,Central Coast,Virginie Boone,@vboone,Rahn 2010 Corvino Bosco Vineyard Grenache-Mourvèdre (San Francisco Bay),Grenache-Mourvèdre,Rahn,7,228,2010,0.009424603174603174,0.009935419771485344,0.0707070707070707,0,0.0
4216,11878,42378,44122,US,"A field blend of Grenache Blanc, Marsanne, Roussanne and Viognier, this delightfully floral wine exudes spring flowers and fresh, just-ripe peach. The wine is dry, although the finish has a subtle suggestion of honey. A delicious wine for spring and summer sipping.",GMRV Field Blend,90,19.0,California,Yolo County,Central Valley,Virginie Boone,@vboone,Midsummer Cellars 2013 GMRV Field Blend White (Yolo County),Rhône-style White Blend,Midsummer Cellars,7,476,2013,0.010912698412698412,0.0069547938400397425,0.101010101010101,30,1046.6999999999996
4217,11899,42452,44198,US,"This dark, concentrated wine is jammy in red and black fruit, with a doughy hint of biscuits. On the heavier side, it is structured with a hit of acidity on the dry, tannic finish. A sizable wine, it will require sizable pairings to tame its strength.",Caton Vineyard Ballfield,87,42.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Ty Caton 2012 Caton Vineyard Ballfield Syrah (Sonoma Valley),Syrah,Ty Caton,7,560,2012,0.010416666666666666,0.01838052657724789,0.0707070707070707,93,89.66000000000004
4218,11900,42468,44215,US,"Steely at first sip, and then oaky and midweight, this white reflects the vintage and the region, providing ripe creaminess and plenty of oomph. Made in a heavier style, it remains well-balanced in acidity, with a lengthy, tropical finish.",Mitsuko's Vineyard Musque Clone,87,22.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Clos Pegase 2013 Mitsuko's Vineyard Musque Clone Sauvignon Blanc (Carneros),Sauvignon Blanc,Clos Pegase,7,514,2013,0.010912698412698412,0.008445106805762544,0.0707070707070707,0,0.0
4219,11915,42510,44257,US,"From 86% Syrah and 14% Zinfandel grapes, this is a dark wine, burgundy-orange in color and equally dense at first on the palate. It picks up freshness as it opens, disrobing flavors of wild strawberry and grapefruit, along with an intensity of blackberry. Bright, it finishes dry.",Ivy Rosé de,88,23.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pech Merle 2014 Ivy Rosé de Syrah (Dry Creek Valley),Syrah,Pech Merle,7,560,2014,0.011408730158730158,0.008941877794336809,0.08080808080808081,0,0.0
4220,11917,42513,44260,US,"Peppery, rich and low in pronounced oak, this estate-driven Cab has softened tannins and is most definitely drinkable now, with pungent, bright fruit and a lengthy, leathery finish.",Pestoni Family Estate,88,55.0,California,Rutherford,Napa,Virginie Boone,@vboone,Rutherford Grove 2010 Pestoni Family Estate Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Rutherford Grove,7,80,2010,0.009424603174603174,0.02483854942871336,0.08080808080808081,0,0.0
4221,11919,42519,44266,US,"Soft and supple in lemon and melon, this 100% varietal white was given time in both stainless steel and neutral oak, the combination rewarding in a rounded, approachable mouthfeel that's both creamy and ripe. Stone fruit makes an appearance, before the wine finishes lean and tart.",Symphony No 9,88,28.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Silver Trident 2014 Symphony No 9 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Silver Trident,7,514,2014,0.011408730158730158,0.011425732737208148,0.08080808080808081,77,540.8399999999998
4222,11920,42524,44271,US,"Made by David Low of Anthill Farms in extremely small quantities, this is a new brand devoted to light-bodied wines from fine, cool-climate sites. Tight in dried cranberry and cherry, this is indeed a light and subtle undertaking, dusty and perfumed in rosewater fragrance.",English Hill,88,46.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,The Withers Winery 2013 English Hill Pinot Noir (Sonoma Coast),Pinot Noir,The Withers Winery,7,440,2013,0.010912698412698412,0.02036761053154496,0.08080808080808081,113,113.16999999999996
